ROI.Name,x.mni,y.mni,z.mni,network,hemi,index
Inferior Occipital G,-39.7283,-85.3526,0.26012,Occipital,L,1
Angular G,-49.7727,-60.6136,22.2159,Parietal,L,2
Precuneus,13.148,-64.722,23.5776,Parietal,R,3
Insula,-36.9079,-13.4079,-3.5395,Insula,L,4
Anterior cingulate,-6.8959,45.6516,6.5837,Cingulate,L,5
Precuneus,9.0112,-36.0781,46.5502,Parietal,R,6
Angular G,55.6107,-47.2992,39.8484,Parietal,R,7
Postcentral G,-40.8289,-21.1184,52.9079,Parietal,L,8
Cerebellum,-19.3224,-62.0939,-27.3551,Cerebellum,L,9
Cerebellum,43.0633,-55.3165,-33.4557,Cerebellum,R,10
Middle temporal G,-58.5281,-30.2584,-3.7528,Temporal,L,11
Frontal pole,27.5455,58.5734,-2.6224,Frontal,R,12
Medial Frontal G,2.9492,12.4322,48.6483,Frontal,R,13
Angular G,53.7553,-55.3298,22.5638,Parietal,R,14
Putamen,13.3443,12.4262,-7.377,SCGM,R,15
Inferior Occipital G,-48.9844,-65.5781,-6.0586,Occipital,L,16
Precentral,46.2108,8.8386,30.7399,Frontal,R,17
Thalamus,11.9077,-20.5231,8.1692,SCGM,R,18
Precuneus,-9.8253,-67.2268,21.4796,Parietal,L,19
Insula,-32.7044,19.5074,1.3892,Insula,L,20
Postcentral G,-9.3255,-37.9104,68.0236,Parietal,L,21
Anterior cingulate,6.52,42.2133,4.5867,Cingulate,R,22
Middle frontal G,-41.8358,41.7313,12.7612,Frontal,L,23
Superior temporal G,-58.4579,-27.3785,14.4813,Temporal,L,24
Middle frontal G,44.5189,40.8113,13.8821,Frontal,R,25
Inferior Occipital G,43.417,-73.7617,-11.7064,Occipital,R,26
Parahippocampal G,-30.3273,-5.1818,-33.2727,Temporal,L,27
Postcentral G,29.424,-33.42,62.448,Parietal,R,28
CINGULATE G,1.625,-15.9167,33.375,Cingulate,R,29
Brainstem,2.8586,-27.8325,-36.6126,Brainstem,Brainstem,30
Superior Parietal Lobule,30.1714,-54.5429,58.6143,Parietal,R,31
Temporal pole,43.5608,9.5676,-38.1081,Temporal,R,32
Supramarginal G,-56.8608,-43.3763,25.3763,Parietal,L,33
Precentral,-45.6,7.8769,30.9077,Frontal,L,34
Insula,40.8534,-5.2618,9.6754,Insula,R,35
Cerebellum,-40.2834,-52.4599,-34.7487,Cerebellum,L,36
Thalamus,-13.3562,-31.9589,0.15068,SCGM,L,37
Middle frontal G,42.5455,24.2851,36.6074,Frontal,R,38
Middle temporal G,62.656,-42.8394,-8.9587,Temporal,R,39
Anterior cingulate,1.7338,33.3799,23.6006,Cingulate,R,40
Cerebellum,30.4972,-39.4309,-32.3867,Cerebellum,R,41
Frontal pole,-27.8333,48.9444,-14.1111,Frontal,L,42
Temporal pole,-39,6.0745,-40.0435,Temporal,L,43
Occipital pole,13.583,-94.4043,1.4809,Occipital,R,44
Thalamus,-8.1989,-17.9148,9,SCGM,L,45
Posterior Cingulate,1.894,-38.1843,31.4101,Cingulate,R,46
Caudate,-13.795,12.8159,-3.8787,SCGM,L,47
Parahippocampal G,19.0837,-34.6388,-2.8943,Temporal,R,48
Middle temporal G,61.8086,-20.799,-16.8086,Temporal,R,49
Superior frontal G,-27.9802,-6.5792,56.9554,Frontal,L,50
Anterior cingulate,-0.34404,38.8486,-13.7339,Cingulate,L,51
Brainstem,-6.5068,-45.9932,-40.1554,Brainstem,Brainstem,52
Frontal Orbital G,44.507,29.5211,-10.9155,Frontal,R,53
Cuneus,-5.3447,-87.3072,24.5631,Occipital,L,54
Anterior cingulate,0.5,16.369,31.1548,Cingulate,R,55
Angular G,-51.8911,-50.2426,40.9455,Parietal,L,56
Frontal Orbital G,-27.3453,31.1439,-16.1223,Frontal,L,57
Precuneus,1.65,-52.5625,14.3125,Parietal,R,58
Insula,36.5865,17.3459,2.5038,Insula,R,59
Postcentral G,43.3626,-20.1298,52.6031,Parietal,R,60
Middle frontal G,-38.8519,20.4074,41.3889,Frontal,L,61
Fusiform,33.9028,-31.4583,-17.4028,Temporal,R,62
Fusiform,-43.6773,-51.9545,-19.1318,Temporal,L,63
Middle frontal G,28.5421,-0.53271,55.7664,Frontal,R,64
Superior Parietal Lobule,12.381,-45.0833,67,Parietal,R,65
Superior temporal G,61.3333,-17.4583,11.6146,Temporal,R,66
Putamen,-27.9025,1.1822,2.6949,SCGM,L,67
Midbrain,1.2324,-20.5519,-8.5768,Brainstem,Brainstem,68
Middle temporal G,59.7253,-44.4725,9.7033,Temporal,R,69
Lingual G,-11.3445,-69.7941,5.3445,Occipital,L,70
Frontal Orbital G,29.135,24.8282,-16.0675,Frontal,R,71
