ROI.Name,x.mni,y.mni,z.mni,network,index
    L.BA38.4,-30,0,-36,left,1
    L.BA36.1,-27,-24,-22,left,2
    L.BA20.2,-44,-33,-22,left,3
    L.BA21.4,-59,-33,-19,left,4
    L.BA38.2,-48,4,-33,left,5
    L.BA47.3,-34,21,-15,left,6
    L.BA4.2,-45,-11,45,left,7
    L.BA20.1,-56,-18,-25,left,8
    L.BA40.4,-49,-42,47,left,9
    L.BA8.7,-6,21,46,left,10
    L.BA17.2,-17,-77,8,left,11
    L.BA18.2,-24,-95,-12,left,12
    L.BA7.6,-13,-65,55,left,13
    L.BA18.11,-6,-93,15,left,14
    L.BA19.11,-13,-76,31,left,15
    L.BA18.3,-22,-84,-12,left,16
    L.BA31.4,-6,-65,39,left,17
    L.BA18.10,-8,-95,-8,left,18
    L.BA19.1,-46,-70,11,left,19
    L.BA7.3,-27,-66,55,left,20
    L.BA7.8,-11,-46,62,left,21
    L.BA19.2,-46,-72,-1,left,22
    L.BA39.11,-32,-55,42,left,23
    L.BA6.5,-45,5,30,left,24
    L.BA47.2,-47,29,-9,left,25
    L.BA9.4,-22,47,40,left,26
    L.BA18.9,-10,-68,2,left,27
    L.BA46.1,-47,29,21,left,28
    L.BA39.7,-45,-55,52,left,29
    L.BA9.6,-9,55,34,left,30
    L.BA19.3,-41,-82,20,left,31
    L.BA10.2,-41,44,25,left,32
    L.BA19.4,-41,-74,27,left,33
    L.BA37.3,-51,-60,-7,left,34
    L.BA39.9,-40,-62,44,left,35
    L.BA19.12,-12,-89,34,left,36
    L.BA22.4,-44,-2,-10,left,37
    L.BA39.1,-60,-48,23,left,38
    L.BA11.2,-15,25,-20,left,39
    L.BA18.7,-13,-64,26,left,40
    L.BA1.2,-45,-35,57,left,41
    L.BA39.4,-51,-59,36,left,42
    L.BA6.14,-5,1,59,left,43
    L.BA46.2,-42,40,10,left,44
    L.BA39.13,-27,-76,36,left,45
    L.BA6.2,-57,-1,6,left,46
    L.BA10.14,-5,53,-11,left,47
    L.BA8.4,-24,25,47,left,48
    L.BA7.2,-30,-41,53,left,49
    L.BA19.10,-18,-48,-4,left,50
    L.BA18.5,-18,-103,-2,left,51
    L.BA13.2,-40,-22,13,left,52
    L.BA24.2,-5,-9,38,left,53
    L.BA45.3,-45,24,2,left,54
    L.BA19.7,-31,-83,25,left,55
    L.BA45.1,-53,18,10,left,56
    L.BA6.13,-6,-8,52,left,57
    L.BA10.13,-8,52,7,left,58
    L.BA47.4,-30,34,-15,left,59
    L.BA32.1,-7,38,-4,left,60
    L.BA8.8,-5,38,37,left,61
    L.BA38.3,-34,17,-28,left,62
    L.BA7.10,-8,-54,51,left,63
    L.BA6.12,-7,13,65,left,64
    L.BA39.3,-52,-48,39,left,65
    L.BA39.5,-53,-55,9,left,66
    L.BA10.4,-32,52,1,left,67
    L.BA8.2,-40,15,30,left,68
    L.BA10.3,-38,51,12,left,69
    L.BA10.8,-24,60,5,left,70
    L.BA13.3,-40,10,2,left,71
    L.BA8.5,-14,30,55,left,72
    L.BA11.3,-10,57,-17,left,73
    L.BA21.6,-55,-5,-20,left,74
    L.BA4.3,-45,-12,15,left,75
    L.BA39.10,-40,-73,39,left,76
    L.BA7.7,-12,-37,77,left,77
    L.BA6.9,-24,3,51,left,78
    L.BA1.3,-41,-23,57,left,79
    L.BA10.1,-42,47,-6,left,80
    L.BA10.12,-9,64,-3,left,81
    L.BA22.1,-61,-36,18,left,82
    L.BA6.1,-57,6,31,left,83
    L.BA47.1,-50,38,0,left,84
    L.BA9.2,-40,32,26,left,85
    L.BA1.4,-25,-32,66,left,86
    L.BA10.11,-11,65,11,left,87
    L.BA31.3,-8,-49,38,left,88
    L.BA7.1,-37,-49,51,left,89
    L.BA13.1,-42,-4,7,left,90
    L.BA39.12,-30,-65,39,left,91
    L.BA11.1,-26,46,-15,left,92
    L.BA10.6,-27,52,17,left,93
    L.BA17.4,-7,-84,5,left,94
    L.BA17.1,-22,-62,7,left,95
    L.BA40.2,-58,-36,36,left,96
    L.BA37.1,-60,-51,-17,left,97
    L.BA13.4,-34,25,0,left,98
    L.BA10.15,-5,52,21,left,99
    L.BA8.6,-10,43,47,left,100
    L.BA39.8,-44,-61,26,left,101
    L.BA40.3,-58,-24,31,left,102
    L.BA21.3,-59,-40,7,left,103
    L.BA21.5,-58,-22,-12,left,104
    L.BA39.6,-49,-51,24,left,105
    L.BA18.4,-22,-90,17,left,106
    L.BA6.8,-25,15,58,left,107
    L.BA18.8,-11,-78,-6,left,108
    L.BA11.4,-6,33,-17,left,109
    L.BA44.1,-54,7,18,left,110
    L.BA39.2,-54,-62,20,left,111
    L.BA17.3,-7,-77,19,left,112
    L.BA40.5,-49,-35,20,left,113
    L.BA6.11,-13,-8,71,left,114
    L.BA1.1,-52,-19,37,left,115
    L.BA23.1,-11,-55,10,left,116
    L.BA8.3,-38,21,49,left,117
    L.BA22.2,-55,5,-7,left,118
    L.BA21.1,-65,-36,-7,left,119
    L.BA18.1,-33,-87,-3,left,120
    L.BA32.2,-7,35,22,left,121
    L.BA37.5,-28,-42,-14,left,122
    L.BA31.1,-9,-24,47,left,123
    L.BA18.6,-15,-99,9,left,124
    L.BA4.4,-9,-29,65,left,125
    L.BA44.3,-36,14,13,left,126
    L.BA7.9,-8,-75,43,left,127
    L.BA41.1,-59,-22,10,left,128
    L.BA19.5,-41,-71,-13,left,129
    L.BA6.10,-22,3,66,left,130
    L.BA19.9,-22,-81,32,left,131
    L.BA9.5,-23,35,37,left,132
    L.BA8.1,-42,10,43,left,133
    L.BA7.11,-7,-64,62,left,134
    L.BA38.1,-50,10,-20,left,135
    L.BA9.3,-34,33,38,left,136
    L.BA6.3,-53,2,42,left,137
    L.BA40.7,-40,-32,16,left,138
    L.BA13.5,-32,8,-14,left,139
    L.BA37.4,-43,-50,-19,left,140
    L.BA44.2,-53,18,26,left,141
    L.BA10.9,-20,50,28,left,142
    L.BA31.2,-9,-39,48,left,143
    L.BA23.2,-6,-34,32,left,144
    L.BA40.6,-42,-33,42,left,145
    L.BA24.1,-6,11,36,left,146
    L.BA10.5,-30,43,29,left,147
    L.BA22.3,-49,-21,2,left,148
    L.BA10.7,-27,58,-9,left,149
    L.BA7.5,-19,-72,44,left,150
    L.BA6.7,-28,-11,63,left,151
    L.BA10.10,-12,62,23,left,152
    L.BA23.3,-6,-55,25,left,153
    L.BA7.4,-24,-56,65,left,154
    L.BA4.1,-58,-7,25,left,155
    L.BA21.2,-62,-18,-4,left,156
    L.BA9.1,-47,24,36,left,157
    L.BA40.1,-61,-25,20,left,158
    L.BA45.2,-53,30,9,left,159
    L.BA6.6,-39,1,55,left,160
    L.BA19.8,-26,-63,-9,left,161
    L.BA37.2,-59,-49,-4,left,162
    L.BA19.6,-36,-85,11,left,163
    L.BA6.4,-47,-1,49,left,164
    R.BA120.1,33,1,-38,right,165
    R.BA144.1,39,17,29,right,166
    R.BA136.1,22,-33,-10,right,167
    R.BA147.2,35,34,-14,right,168
    R.BA120.2,45,-19,-28,right,169
    R.BA106.11,56,5,34,right,170
    R.BA147.4,44,45,-10,right,171
    R.BA118.6,14,-94,18,right,172
    R.BA118.5,11,-48,8,right,173
    R.BA137.5,49,-60,9,right,174
    R.BA110.1,6,43,-5,right,175
    R.BA110.13,40,52,2,right,176
    R.BA119.10,48,-70,-2,right,177
    R.BA147.1,32,22,-20,right,178
    R.BA111.5,25,33,-19,right,179
    R.BA139.5,46,-60,22,right,180
    R.BA139.4,44,-68,38,right,181
    R.BA118.7,16,-72,-6,right,182
    R.BA108.6,26,29,40,right,183
    R.BA109.5,26,41,31,right,184
    R.BA107.2,5,-56,50,right,185
    R.BA118.8,23,-84,-9,right,186
    R.BA104.1,7,-31,65,right,187
    R.BA144.2,51,18,7,right,188
    R.BA107.8,25,-69,50,right,189
    R.BA117.1,7,-83,4,right,190
    R.BA123.2,5,-56,27,right,191
    R.BA121.1,52,-34,0,right,192
    R.BA108.9,42,8,49,right,193
    R.BA147.5,51,30,-8,right,194
    R.BA119.5,30,-79,24,right,195
    R.BA119.2,18,-53,-4,right,196
